iter	Passed	Remaining
617	2551	1577
618	2556	1573
619	2559	1568
620	2564	1564
621	2567	1560
622	2571	1556
623	2576	1552
624	2580	1548
625	2584	1544
626	2589	1540
627	2593	1536
628	2598	1532
629	2603	1528
630	2606	1524
631	2611	1520
632	2615	1516
633	2620	1512
634	2624	1508
635	2628	1504
636	2633	1500
637	2637	1496
638	2641	1492
639	2645	1488
640	2649	1483
641	2654	1480
642	2659	1476
643	2662	1472
644	2667	1467
645	2671	1463
646	2675	1459
647	2679	1455
648	2683	1451
649	2687	1447
650	2691	1442
651	2695	1438
652	2700	1435
653	2704	1430
654	2709	1427
655	2713	1423
656	2717	1418
657	2722	1415
658	2726	1410
659	2730	1406
660	2734	1402
661	2738	1398
662	2742	1394
663	2746	1389
664	2750	1385
665	2755	1381
666	2759	1377
667	2764	1373
668	2767	1369
669	2771	1365
670	2776	1361
671	2780	1357
672	2784	1352
673	2788	1348
674	2793	1344
675	2798	1341
676	2802	1337
677	2807	1333
678	2811	1329
679	2815	1324
680	2819	1320
681	2823	1316
682	2828	1312
683	2833	1309
684	2837	1304
685	2842	1301
686	2848	1297
687	2852	1293
688	2856	1289
689	2860	1285
690	2865	1281
691	2869	1277
692	2874	1273
693	2879	1269
694	2883	1265
695	2887	1261
696	2892	1257
697	2897	1253
698	2902	1249
699	2907	1245
700	2911	1241
701	2915	1237
702	2920	1233
703	2925	1229
704	2930	1226
705	2934	1221
706	2938	1217
707	2943	1213
708	2947	1209
709	2952	1206
710	2957	1202
711	2962	1198
712	2967	1194
713	2972	1190
714	2978	1187
715	2982	1182
716	2987	1179
717	2992	1175
718	2997	1171
719	3001	1167
720	3006	1163
721	3011	1159
722	3016	1155
723	3021	1151
724	3026	1147
725	3030	1143
726	3035	1139
727	3040	1135
728	3044	1131
729	3048	1127
730	3054	1123
731	3059	1119
732	3063	1115
733	3068	1111
734	3073	1108
735	3077	1103
736	3082	1099
737	3086	1095
738	3090	1091
739	3095	1087
740	3099	1083
741	3104	1079
742	3109	1075
743	3113	1071
744	3118	1067
745	3122	1063
746	3127	1059
747	3132	1055
748	3137	1051
749	3141	1047
750	3145	1042
751	3150	1039
752	3155	1035
753	3159	1030
754	3164	1026
755	3169	1023
756	3174	1018
757	3179	1014
758	3184	1011
759	3189	1007
760	3200	1005
761	3205	1001
762	3209	996
763	3213	992
764	3219	988
765	3224	985
766	3228	980
767	3234	976
768	3238	972
769	3242	968
770	3247	964
771	3253	960
772	3257	956
773	3262	952
774	3267	948
775	3271	944
776	3276	940
777	3281	936
778	3286	932
779	3291	928
780	3296	924
781	3301	920
782	3305	916
783	3309	911
784	3314	907
785	3319	903
786	3323	899
787	3328	895
788	3332	891
789	3336	887
790	3342	883
791	3347	879
792	3351	874
793	3355	870
794	3359	866
795	3363	862
796	3367	857
